,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,ST_CODE,ST_NAME,DT_CODE,DIST_NAME,AC_NO,AC_NAME,PC_NO,PC_NAME,PC_ID,STATUS,Shape_Leng,Shape_Area,area_AC,OBJECTID_2,S_CODE,S_NAME,D_CODE,D_NAME,PS_CODE,PS_NAME,B_CODE,B_NAME,TRU,AC_NAME_2,PC_NAME_2,GP_CODE,GP_NAME,V_CODE,V_NAME,CLASS,NO_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3,MARGWORK_4,MARGWORK_5,MARG_CL_3_,MARG_CL_31,MARG_CL_32,MARG_AL_3_,MARG_AL_31,MARG_AL_32,MARG_HH_3_,MARG_HH_31,MARG_HH_32,MARG_OT_3_,MARG_OT_31,MARG_OT_32,MARGWORK_0,MARGWORK_1,MARGWORK_2,MARG_CL_0_,MARG_CL_01,MARG_CL_02,MARG_AL_0_,MARG_AL_01,MARG_AL_02,MARG_HH_0_,MARG_HH_01,MARG_HH_02,MARG_OT_0_,MARG_OT_01,MARG_OT_02,NON_WORK_P,NON_WORK_M,NON_WORK_F,Shape_Length,Shape_Area_2,PM_Kisan_merged_Shape_Length,PM_Kisan_merged_Shape_Area,PM_Kisan_merged_state_name,PM_Kisan_merged_state_code,PM_Kisan_merged_dist_name,PM_Kisan_merged_dist_code,PM_Kisan_merged_sub_name,PM_Kisan_merged_sub_code,PM_Kisan_merged_vill_name,PM_Kisan_merged_vill_code,PM_Kisan_merged_reg_count,PM_Kisan_merged_full_pay_count,PM_Kisan_merged_part_pay_count,PM_Kisan_merged_no_pay_count,PM_Kisan_merged_extra_pay_count,PM_Kisan_merged_no_install_paid,PM_Kisan_merged_no_install_due,PM_Kisan_merged_amount_paid,PM_Kisan_merged_amount_due,Area_village
1692,,,,,,,-1,0,-1,,,2,21,ORISSA,5,SUNDARGARH,12,ROURKELA,2,SUNDARGARH (ST),2102,,0.37527958871,0.00529466647,60435077.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3716,,,,,,,-1,0,-1,,,4,21,ORISSA,6,KENDUJHAR,25,CHAMPUA,4,KEONJHAR (ST),2104,,2.04316541594,0.08587389938,981845168.324,114.0,21.0,ODISHA,375.0,KENDUJHAR,2839.0,CHAMPUA P.S,3445.0,CHAMPUA,RURAL,CHAMPUA,KEONJHAR (ST),119289.0,CHAMPUA,385409.0,RAMALA,VILLAGE,438.0,2572.0,1374.0,1198.0,445.0,263.0,182.0,150.0,81.0,69.0,1799.0,959.0,840.0,1451.0,901.0,550.0,1121.0,473.0,648.0,854.0,541.0,313.0,597.0,443.0,154.0,158.0,121.0,37.0,117.0,52.0,65.0,9.0,8.0,1.0,313.0,262.0,51.0,257.0,98.0,159.0,2.0,0.0,2.0,160.0,45.0,115.0,5.0,1.0,4.0,90.0,52.0,38.0,216.0,85.0,131.0,2.0,0.0,2.0,140.0,44.0,96.0,2.0,0.0,2.0,72.0,41.0,31.0,41.0,13.0,28.0,0.0,0.0,0.0,20.0,1.0,19.0,3.0,1.0,2.0,18.0,11.0,7.0,1718.0,833.0,885.0,0.110530131513207,0.0005186584509129,,,,,,,,,,,,,,,,,,,,5928483.226
3761,,,,,,,-1,0,-1,,,4,21,ORISSA,6,KENDUJHAR,25,CHAMPUA,4,KEONJHAR (ST),2104,,2.04316541594,0.08587389938,981845168.324,473.0,21.0,ODISHA,375.0,KENDUJHAR,2839.0,CHAMPUA P.S,3445.0,CHAMPUA,RURAL,CHAMPUA,KEONJHAR (ST),119289.0,CHAMPUA,385407.0,GODHULI,VILLAGE,397.0,1668.0,853.0,815.0,223.0,106.0,117.0,66.0,36.0,30.0,1594.0,814.0,780.0,1030.0,621.0,409.0,638.0,232.0,406.0,839.0,477.0,362.0,509.0,382.0,127.0,134.0,123.0,11.0,212.0,116.0,96.0,5.0,4.0,1.0,158.0,139.0,19.0,330.0,95.0,235.0,28.0,11.0,17.0,271.0,61.0,210.0,2.0,2.0,0.0,29.0,21.0,8.0,320.0,92.0,228.0,28.0,11.0,17.0,270.0,61.0,209.0,2.0,2.0,0.0,20.0,18.0,2.0,10.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,9.0,3.0,6.0,829.0,376.0,453.0,0.0943444280382654,0.0004282781087034,,,,,,,,,,,,,,,,,,,,4894252.308
3773,,,,,,,-1,0,-1,,,4,21,ORISSA,6,KENDUJHAR,25,CHAMPUA,4,KEONJHAR (ST),2104,,2.04316541594,0.08587389938,981845168.324,589.0,21.0,ODISHA,375.0,KENDUJHAR,2839.0,CHAMPUA P.S,3445.0,CHAMPUA,RURAL,CHAMPUA,KEONJHAR (ST),119289.0,CHAMPUA,385404.0,ANANDAPUR ALIAS PANCHAPOKHARIA,VILLAGE,249.0,1099.0,540.0,559.0,145.0,73.0,72.0,80.0,42.0,38.0,327.0,162.0,165.0,625.0,362.0,263.0,474.0,178.0,296.0,397.0,304.0,93.0,278.0,241.0,37.0,124.0,107.0,17.0,12.0,6.0,6.0,4.0,4.0,0.0,138.0,124.0,14.0,119.0,63.0,56.0,7.0,2.0,5.0,35.0,11.0,24.0,0.0,0.0,0.0,77.0,50.0,27.0,92.0,54.0,38.0,5.0,1.0,4.0,25.0,10.0,15.0,0.0,0.0,0.0,62.0,43.0,19.0,27.0,9.0,18.0,2.0,1.0,1.0,10.0,1.0,9.0,0.0,0.0,0.0,15.0,7.0,8.0,702.0,236.0,466.0,0.0817115783340711,0.0003119854919469,,,,,,,,,,,,,,,,,,,,3565771.893
3824,,,,,,,-1,0,-1,,,4,21,ORISSA,6,KENDUJHAR,25,CHAMPUA,4,KEONJHAR (ST),2104,,2.04316541594,0.08587389938,981845168.324,1084.0,21.0,ODISHA,375.0,KENDUJHAR,2839.0,CHAMPUA P.S,3445.0,CHAMPUA,RURAL,CHAMPUA,KEONJHAR (ST),119289.0,CHAMPUA,385405.0,SIRAPUR,VILLAGE,75.0,383.0,176.0,207.0,64.0,33.0,31.0,5.0,2.0,3.0,196.0,92.0,104.0,193.0,100.0,93.0,190.0,76.0,114.0,138.0,95.0,43.0,83.0,74.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,81.0,72.0,9.0,55.0,21.0,34.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,51.0,18.0,33.0,54.0,21.0,33.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,50.0,18.0,32.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,245.0,81.0,164.0,0.0411963697617821,8.07732181902855e-05,,,,,,,,,,,,,,,,,,,,923122.257
3825,,,,,,,-1,0,-1,,,4,21,ORISSA,6,KENDUJHAR,25,CHAMPUA,4,KEONJHAR (ST),2104,,2.04316541594,0.08587389938,981845168.324,1085.0,21.0,ODISHA,375.0,KENDUJHAR,2839.0,CHAMPUA P.S,3445.0,CHAMPUA,RURAL,CHAMPUA,KEONJHAR (ST),119289.0,CHAMPUA,385403.0,SANKARPUR,VILLAGE,25.0,110.0,54.0,56.0,15.0,7.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,67.0,38.0,29.0,43.0,16.0,27.0,53.0,34.0,19.0,24.0,21.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,0.0,18.0,15.0,3.0,29.0,13.0,16.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,23.0,8.0,15.0,25.0,12.0,13.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,19.0,7.0,12.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,57.0,20.0,37.0,0.0515076980430641,9.47221424110039e-05,,,,,,,,,,,,,,,,,,,,1082610.647
3894,,,,,,,-1,0,-1,,,4,21,ORISSA,6,KENDUJHAR,25,CHAMPUA,4,KEONJHAR (ST),2104,,2.04316541594,0.08587389938,981845168.324,1582.0,21.0,ODISHA,375.0,KENDUJHAR,2839.0,CHAMPUA P.S,3445.0,CHAMPUA,RURAL,CHAMPUA,KEONJHAR (ST),119289.0,CHAMPUA,385410.0,CHANDRASEKHARPUR,VILLAGE,95.0,480.0,228.0,252.0,62.0,31.0,31.0,0.0,0.0,0.0,395.0,189.0,206.0,236.0,145.0,91.0,244.0,83.0,161.0,249.0,130.0,119.0,157.0,126.0,31.0,24.0,24.0,0.0,3.0,2.0,1.0,4.0,3.0,1.0,126.0,97.0,29.0,92.0,4.0,88.0,8.0,1.0,7.0,83.0,2.0,81.0,0.0,0.0,0.0,1.0,1.0,0.0,90.0,4.0,86.0,8.0,1.0,7.0,81.0,2.0,79.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,98.0,133.0,0.0524450403366374,0.0001310638129623,,,,,,,,,,,,,,,,,,,,1498280.296
3903,,,,,,,-1,0,-1,,,4,21,ORISSA,6,KENDUJHAR,25,CHAMPUA,4,KEONJHAR (ST),2104,,2.04316541594,0.08587389938,981845168.324,1693.0,21.0,ODISHA,375.0,KENDUJHAR,2839.0,CHAMPUA P.S,3445.0,CHAMPUA,RURAL,CHAMPUA,KEONJHAR (ST),119289.0,CHAMPUA,385408.0,BIRADHANURJAYNARAYANPUR,VILLAGE,177.0,870.0,460.0,410.0,76.0,32.0,44.0,51.0,31.0,20.0,239.0,135.0,104.0,712.0,407.0,305.0,158.0,53.0,105.0,282.0,245.0,37.0,281.0,244.0,37.0,11.0,11.0,0.0,2.0,2.0,0.0,16.0,14.0,2.0,252.0,217.0,35.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,215.0,373.0,0.0587800151998992,9.78310515876042e-05,,,,,,,,,,,,,,,,,,,,1118192.457
10812,,,,,,,-1,0,-1,,,6,21,ORISSA,8,BALESHWAR,38,BALASORE,6,BALASORE,2106,,1.49825074253,0.03437562531,394320117.85,24106.0,21.0,ODISHA,377.0,BALESWAR,2895.0,BASTA P.S,3299.0,BALESWAR SADAR,RURAL,BALASORE,BALASORE,116071.0,HALADIPADA,392548.0,SOMNATHAPUR,VILLAGE,191.0,815.0,431.0,384.0,69.0,40.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,653.0,362.0,291.0,162.0,69.0,93.0,234.0,221.0,13.0,228.0,215.0,13.0,52.0,52.0,0.0,123.0,121.0,2.0,5.0,2.0,3.0,48.0,40.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,581.0,210.0,371.0,0.0241386695576338,2.62316431466288e-05,0.0241386695576338,2.62316431466288e-05,ODISHA,21.0,BALESHWAR,346.0,Basta,2895.0,Somnathapur - (392548),392548.0,61.0,2.0,12.0,2.0,45.0,342.0,358.0,"6,84,000","7,16,000",300788.641
10847,,,,,,,-1,0,-1,,,6,21,ORISSA,8,BALESHWAR,39,REMUNA (SC),6,BALASORE,2106,,1.96095262952,0.03895355793,447049181.884,21475.0,21.0,ODISHA,377.0,BALESWAR,2899.0,CHANDIPUR P.S,3299.0,BALESWAR SADAR,RURAL,REMUNA(SC),BALASORE,116080.0,PADAMPUR,392853.0,PURASTAMPUR,VILLAGE,90.0,369.0,195.0,174.0,34.0,19.0,15.0,5.0,2.0,3.0,23.0,15.0,8.0,297.0,164.0,133.0,72.0,31.0,41.0,118.0,109.0,9.0,117.0,108.0,9.0,16.0,16.0,0.0,19.0,16.0,3.0,0.0,0.0,0.0,82.0,76.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,86.0,165.0,0.0139314808863549,1.35592435534697e-05,0.0299438759495277,2.55714918947712e-05,ODISHA,21.0,BALESHWAR,346.0,Baleshwar Sadar,2897.0,Purastampur - (392853),392853.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,155660.995
